id,phase,title,source,verify_command,expected_output,status,evidence_ref,owner_blocked
BR-220,2,"level1 telemetry non-null on re-read for assistant, submissions, classify, MCP and tasks execute paths",U-49;F-A06-3;M-A06-4,bun test --isolate src/lib/pipeline/run-submission.telemetry.test.ts,"EXIT 0; stdout contains ""0 fail""",pass,"PM run 2026-09-25 on main 61f34613 (U-49 merged as #1859); exit 0, 1s",no
BR-221,2,"Refusal on assistant, submissions, classify and tasks execute returns HTTP 200 with records attached, not HTTP 400 with the bare sentence",U-49;PMD-02;F-A06-4,bun test --isolate src/app/api/v1/projexa/assistant/route.refusal.test.ts src/app/api/v1/projexa/submissions/route.refusal.test.ts src/app/api/v1/projexa/classify/route.refusal.test.ts src/app/api/v1/projexa/tasks/route.refusal.test.ts,"EXIT 0; stdout contains ""0 fail""",pass,"PM run 2026-09-25 on main 61f34613 (U-49 merged as #1859); exit 0, 2s",no
BR-222,2,Job name projexa-exchange-rate-refresh recorded once in ai-os/SHARED_BOUNDARY.md before the cron job is created,U-21;U-11;E-16;E-04;F-A07-4,"test ""$(git grep -c -E 'projexa-exchange-rate-refresh' -- ai-os/SHARED_BOUNDARY.md | awk -F: '{s+=$2} END {print s+0}')"" = ""1""",EXIT 0,pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-223,2,[EXIT] Exactly one active projexa- pg_cron job on verdian-ai (exchange-rate-refresh via pg_net to Edge Function),U-21;E-04;PMD-12;F-A07-2;F-A07-4;M-A07-6,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from cron.job where jobname like 'projexa-%' and active"" --equals 1","EXIT 0; stdout ""1""",pass,"SQL 2026-09-25: 1 (Supabase MCP execute_sql on verdian-ai at 11:56Z, matches expected)",no
BR-224,2,Exchange rates written by the Edge Function: at least 1 compliance.erp_exchange_rates row with rate_date in the last 2 days,U-21;E-04;F-A07-3;M-A09-2,"node scripts/verify/sql-assert.mjs --project ct --sql ""select (count(*) >= 1)::int from compliance.erp_exchange_rates where rate_date >= current_date - 1"" --equals 1","EXIT 0; stdout ""1""",pass,"SQL 2026-09-25: 1 (Supabase MCP execute_sql on verdian-ai at 11:56Z, matches expected)",no
BR-225,2,Zero Vercel invocations of /api/internal/exchange-rate-refresh/run over 7 days (read-only script; needs a live Vercel project),U-21;E-04;PMD-11,bash scripts/verify/vercel-invocations.sh /api/internal/exchange-rate-refresh/run 7,"EXIT 0; stdout last line ""INVOCATIONS=0""",blocked_owner,025eea08 vercel.json ignoreCommand exit 0; PMD-11 Vercel locked,yes
BR-226,2,projexa main has no email-digest-poll.yml workflow and no email-digest-cadence route files,U-21;E-05;F-A10-3;M-A10-5,"test ""$(gh api 'repos/FChecklist/projexa/git/trees/main?recursive=1' --jq '[.tree[].path | select(. == "".github/workflows/email-digest-poll.yml"" or startswith(""src/app/api/internal/email-digest-cadence/""))] | length')"" = ""0""",EXIT 0,pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 9.1s",no
BR-227,2,projexa vercel.json has no email-digest-cadence cron,U-21;E-05;F-A10-3;M-A10-5,"test ""$(gh api 'repos/FChecklist/projexa/contents/vercel.json?ref=main' --jq '.content | gsub(""\n""; """") | @base64d | contains(""email-digest-cadence"") | not')"" = ""true""","EXIT 0 (an unreachable GitHub API prints nothing, so the test fails closed)",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-228,2,[EXIT] Universal AI work link spec accepted: non-author audit file has one AUDIT: PASS line,U-44;PMD-16;AGENTS-Rule-7c,"test ""$(git grep -c -E '^AUDIT: PASS' -- ai-os/projexa-build-001/UNIVERSAL_AI_WORK_LINK_SPEC_AUDIT.md | awk -F: '{s+=$2} END {print s+0}')"" = ""1""",EXIT 0,pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-229,2,"Conformance harness: dumb-AI script reads the link root, parses instructions, calls one listed API and dry-runs a write with 0 rows written (mutation: other-project token, test must fail)",U-45;U-44,bun test --isolate src/lib/ai-links/conformance.test.ts,"EXIT 0; stdout contains ""0 fail""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 6s",no
BR-280,2,"[EXIT] AI work link conformance harness self-test: 24 of 24 checks pass on the mock and all 18 deliberately broken rules are detected (creates scripts/verify/awl-harness.sh with modes selftest, readonly and full)",U-45;U-44;AWL-H03;A-01;A-03;A-09;A-21;A-22;R74-RULING-03,bash scripts/verify/awl-harness.sh selftest,"EXIT 0; stdout last line ""SELFTEST: clean 24/24 pass; 18/18 breaks detected""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 31.2s",no
BR-281,2,"Capability matrix: every admin, owner or maker install carries shared_identity_risk, Claude in Chrome L6 is not zero setup, and each surface confidence is the lowest of its cells (creates scripts/verify/awl-matrix-check.sh)",U-44;U-48;AWL-S12;A-04;A-14;A-23;V-10;V-11;V-12;V-13,bash scripts/verify/awl-matrix-check.sh,"EXIT 0; stdout last line ""AWL_MATRIX admin_cells_unmarked=0 chrome_l6=one_time_user_setup confidence_mismatch=0""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 2s",no
BR-282,2,"Every FETCHED-S01 vendor fact still matches its pinned page lines (creates scripts/verify/awl-s01-verify.sh, which runs ailink_s01_verify.py)",U-44;AWL-S17;A-23;V-1;V-2;V-3;V-4;V-5,bash scripts/verify/awl-s01-verify.sh,"EXIT 0; stdout last line ""S01-VERIFY: 26 of 26 facts match""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 7.1s",no
BR-283,2,"AI work link spec carries all 23 audit fixes: fix-log rows A-01 to A-23, OD-13 and OD-13b, EXC-DUP-1, the exfiltration clause, three executor values in F-12, the cache residual, no unenforced proposal-age claim (creates scripts/verify/awl-spec-check.sh)",U-44;AWL-S18;A-06;A-13;A-17;A-18;A-19;PMD-26,bash scripts/verify/awl-spec-check.sh,"EXIT 0; stdout last line ""AWL_SPEC fix_rows=23 missing=0""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 2s",no
BR-284,2,"Link objects are named in ai-os/SHARED_BOUNDARY.md and ACTIVE-CLAIMS before they are created: Edge Function ai-work-link-exec, cron job ai-work-link-call-retention, the ai-work-link claim (Addendum E-16)",U-46;U-44;E-16;A6;PMD-24,"test ""$(git grep -c -E 'ai-work-link-exec' -- ai-os/SHARED_BOUNDARY.md | awk -F: '{s+=$2} END {print (s>0)}')"" = ""1"" && test ""$(git grep -c -E 'ai-work-link-call-retention' -- ai-os/SHARED_BOUNDARY.md | awk -F: '{s+=$2} END {print (s>0)}')"" = ""1"" && test ""$(git grep -c -E 'ai-work-link' -- ai-os/boss/ACTIVE-CLAIMS.yaml | awk -F: '{s+=$2} END {print (s>0)}')"" = ""1""",EXIT 0,pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-285,2,EXECUTORS construction reads receive the caller role: the construction dispatchTool call passes task.role (F-1; C-3 done by PR #1839),U-46;U-01;AWL-S01;F-1;C-3;PR#1839,"test ""$(git grep -c -E 'dispatchTool\(db, task\.orgId, task\.userId, codeReference, \{ inputs: .*\}, task\.role' -- src/lib/pipeline/executor.ts | awk -F: '{s+=$2} END {print s+0}')"" = ""1""",EXIT 0,pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-286,2,Shared dashboard redaction nulls ledgerBudget and progressByBoqValuePct (A-02; C-10 done by PR #1839),U-46;U-01;AWL-S11;A-02;C-10;PR#1839,"test ""$(git grep -c -F 'ledgerBudget: null' -- src/lib/task-execution/construction-tools.ts | awk -F: '{s+=$2} END {print (s>0)}')"" = ""1"" && test ""$(git grep -c -F 'progressByBoqValuePct: null' -- src/lib/task-execution/construction-tools.ts | awk -F: '{s+=$2} END {print (s>0)}')"" = ""1""",EXIT 0,pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-287,2,"Pipeline carries aiLinkId and the level1 internal/off switch, so a link submission records its link and never runs the internal AI (C-1, C-2)",U-43;U-49;AWL-S06;C-1;C-2,"test ""$(git grep -c -E 'aiLinkId|level1\?: ""(internal|off)""' -- src/lib/pipeline/run-submission.ts | awk -F: '{s+=$2} END {print (s>=3)}')"" = ""1""",EXIT 0,pass,"PM run 2026-09-26 on main 3a1dcd83 (run_rows.ps1); exit 0, 1s",no
BR-288,2,"Executor refuses an id parameter from another project of the same org (roster, issue, BOQ line, BOQ) and writes 0 rows (mutation: remove the check, test must fail)",U-46;U-18;AWL-S13;A-11;C-13;F-18,bun test --isolate src/lib/pipeline/executor-project-scope.test.ts,"EXIT 0; output contains "" 0 fail""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 2s",no
BR-289,2,"VERIDIAN get-or-create and revoke touch product=veridian rows only, so the VERIDIAN picker never returns or revokes a PROJEXA link (C-11)",U-44;U-18;AWL-S07;A-05;C-11;F-17;PMD-26,"test ""$(git grep -c -F ""eq(userAiLinks.product, 'veridian')"" -- src/lib/ai-links/user-links.ts | awk -F: '{s+=$2} END {print s+0}')"" = ""2""",EXIT 0,pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-290,2,"platform.user_ai_links check constraint: a projexa row needs project_id, token_hash and expires_at and a NULL plaintext token; veridian rows unchanged (OD-13; replaces a table-wide project_id NOT NULL)",U-44;U-18;AWL-D02;A-05;WO2.1;PMD-26,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from pg_constraint where conrelid = 'platform.user_ai_links'::regclass and contype = 'c' and pg_get_constraintdef(oid) ilike '%product%veridian%project_id is not null%token_hash is not null%token is null%expires_at is not null%'"" --equals 1","EXIT 0; stdout ""1""",pass,"SQL 2026-09-25: 1 (Supabase MCP execute_sql on verdian-ai at 11:56Z, matches expected)",no
BR-291,2,"One active link per (org, user) for veridian rows and per (user, project) for projexa rows, and no product-blind active unique index left",U-44;U-18;AWL-D03;A-05;D-03,"node scripts/verify/sql-assert.mjs --project ct --sql ""select case when count(*) filter (where indexdef ilike 'create unique index%(user_id, project_id)%where%active%projexa%') = 1 and count(*) filter (where indexdef ilike 'create unique index%(org_id, user_id)%where%active%veridian%') = 1 and count(*) filter (where indexdef ilike 'create unique index%(org_id, user_id)%where%active%' and indexdef not ilike '%product%') = 0 then 1 else 0 end from pg_indexes where schemaname = 'platform' and tablename = 'user_ai_links'"" --equals 1","EXIT 0; stdout ""1""",pass,"SQL 2026-09-25: 1 (Supabase MCP execute_sql on verdian-ai at 11:56Z, matches expected)",no
BR-301,3,[ENTRY] Phase 2 exit BR-206 still passes: rollback rehearsal logged PASS_ROLLED_BACK for every phase 2 migration,U-17;D-10;WO2.6;PMD-10,bash scripts/verify/rollback-rehearsals.sh,"EXIT 0; stdout last line ""REHEARSAL_MISSING=0""",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 1s",no
BR-302,3,[ENTRY] Phase 2 exit BR-210 still passes: link minted for project A gets HTTP 403 on a write to project B,U-18;WO2.4,"bun test --isolate ""src/app/api/mcp/[token]/route.project-scope.test.ts""","EXIT 0; output contains ""0 fail""",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 1s",no
BR-303,3,"[ENTRY] Phase 2 exit BR-216 still passes: amended D-09, zero key-attributed audit rows without a person in 7 days",U-20;D-09;WO2.3;M-A05-1,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from compliance.audit_logs where created_at > now() - interval '7 days' and (api_key_id is not null or actor_role = 'api_key') and user_id is null"" --equals 0","EXIT 0; stdout ""0""",pass,"SQL 2026-09-26 (Supabase MCP execute_sql on verdian-ai, the row's own query returned the expected value); exit 0, 1s",no
BR-304,3,"[ENTRY] Phase 2 exit BR-219 still passes: Level 1 gate compares the acting person, not the org key",U-49;PMD-02,bun test --isolate src/lib/ai/gate-identity.test.ts,"EXIT 0; output contains ""0 fail""",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 1s",no
BR-305,3,[ENTRY] Phase 2 exit BR-223 still passes: exactly one active projexa- pg_cron job on verdian-ai,U-21;E-04;PMD-12,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from cron.job where jobname like 'projexa-%' and active"" --equals 1","EXIT 0; stdout ""1""",pass,"SQL 2026-09-25: 1 active projexa- cron job (Supabase SQL tool); exit 0, 1s",no
BR-306,3,[ENTRY] Phase 2 exit BR-228 still passes: universal AI work link spec audit file has one AUDIT: PASS line,U-44;PMD-16,"test ""$(git grep -c -E '^AUDIT: PASS' -- ai-os/projexa-build-001/UNIVERSAL_AI_WORK_LINK_SPEC_AUDIT.md | awk -F: '{s+=$2} END {print s+0}')"" = ""1""","EXIT 0; compared count ""1""",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 1s",no
BR-307,3,"31 exceptions rows EXC-ITEM-01..31 in platform.sumeet_requirements, sourced from construction-exceptions-service.ts@6d531f53 (not platform.sumeet_gap)",U-22;U-04;WO3.2;D-02;PMD-17;F-A02-1;F-A02-3;F-A03-3;M-A02-2;M-A02-4;M-A03-3;M-A02-6,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from platform.sumeet_requirements where id ~ '^EXC-ITEM-(0[1-9]|[12][0-9]|3[01])\$' and source like 'construction-exceptions-service.ts@6d531f53%'"" --equals 31","EXIT 0; stdout ""31"" (today 0: SQL 2026-09-25 count of id like EXC-% = 0)",pass,"SQL 2026-09-25: 31 EXC-ITEM rows with source construction-exceptions-service.ts@6d531f53 (Supabase SQL tool, after migration 0617); exit 0, 1s",no
BR-308,3,"[EXIT] WO 3.1: zero built=YES register rows without a verify_command (column added by U-22; read through to_jsonb so the query never names a missing column); R-15, R-31 and R-92, whose proof lives in the projexa repository, use bash scripts/verify/projexa-proof-present.sh (presence of the named spec or test on projexa main, like R-B1)",U-22;WO3.1;F-A11-3;F-A02-2;M-A07-2;M-A11-4,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from platform.sumeet_requirements r where r.built = 'YES' and nullif(to_jsonb(r)->>'verify_command', '') is null"" --equals 0","EXIT 0; stdout ""0"" (today 61: SQL 2026-09-25 built=YES = 61, column absent)",pass,"SQL 2026-09-25: 0 built=YES rows without a verify_command (Supabase SQL tool, after 0617 and the R-15, R-31, R-92 fills of PMD-31); exit 0, 1s",no
BR-309,3,[EXIT] WO 3.2: all 31 EXC-ITEM rows carry a non-empty verify_command,U-22;WO3.2;PMD-17;F-A02-1;M-A02-4,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from platform.sumeet_requirements r where r.id like 'EXC-ITEM-%' and nullif(to_jsonb(r)->>'verify_command', '') is not null"" --equals 31","EXIT 0; stdout ""31""",pass,"SQL 2026-09-25: 31 of 31 EXC-ITEM rows carry a verify_command (Supabase SQL tool, after migration 0617); exit 0, 1s",no
BR-310,3,META items EXC-ITEM-29..31 verified by register-level checks: each verify_command reads platform.sumeet_requirements,U-22;PMD-17;M-A02-5,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from platform.sumeet_requirements r where r.id in ('EXC-ITEM-29', 'EXC-ITEM-30', 'EXC-ITEM-31') and to_jsonb(r)->>'verify_command' like '%platform.sumeet_requirements%'"" --equals 3","EXIT 0; stdout ""3""",pass,"SQL 2026-09-25: 3 of 3 META rows read platform.sumeet_requirements (Supabase SQL tool); exit 0, 1s",no
BR-311,3,"[EXIT] WO 3.6: zero DONE register rows whose evidence_ref is not a commit SHA, a PR number (PR#n) or a dated query result (SQL yyyy-mm-dd: value); for rows with built = 'n/a' only (owner decisions and one-time hygiene outside code and database) a dated check is also accepted (CHECK yyyy-mm-dd: what was read -> value)",U-22;WO3.6;F-A02-2;F-A11-3;M-A11-4;M-A07-2,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from platform.sumeet_requirements r where r.status like 'DONE%' and coalesce(to_jsonb(r)->>'evidence_ref', '') !~ '^([0-9a-f]{7,40}|PR#[0-9]+|SQL [0-9]{4}-[0-9]{2}-[0-9]{2}: .+)\$' and not (r.built = 'n/a' and coalesce(to_jsonb(r)->>'evidence_ref', '') ~ '^CHECK [0-9]{4}-[0-9]{2}-[0-9]{2}: .+ -> .+\$')"" --equals 0","EXIT 0; stdout ""0"" (before U-22: 45, column absent; after 0617 and the evidence fills of 2026-09-25: 0)",pass,"SQL 2026-09-25: 0 DONE rows with an invalid evidence_ref (Supabase SQL tool, after the PMD-30 fills, AM-118); exit 0, 1s",no
BR-312,3,Register consistency script stops sending Accept-Profile platform (PostgREST 406 PGRST106 on every run; mutation: today's line 362 makes this row fail),U-22;F-A09-5,"test ""$(git grep -c -F '""Accept-Profile"": ""platform""' -- scripts/check-register-consistency.mjs | awk -F: '{s+=$2} END {print s+0}')"" = ""0""","EXIT 0; compared count ""0"" (today 1 at origin/main 025eea08 line 362)",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 1s",no
BR-313,3,"[EXIT] WO 3.3: verify:all (bun script in package.json, not npm) runs at least 111 checks against live Supabase with 0 failed (new script scripts/verify/verify-all-local.sh)",U-23;WO3.3;M-A07-3;F-A02-5;F-A02-2,bash scripts/verify/verify-all-local.sh,"EXIT 0; stdout last line ""VERIFY-ALL-GATE: PASS"" (printed only when verify:all reports n >= 111 checks and 0 failed)",pass,"PM run 2026-09-25 on main e84235dc (run_rows.ps1); verify:all n=111 fail=0 VERIFY-ALL-GATE: PASS (U-23 #1870, proof retry #1874); exit 0, 104.8s",no
BR-314,3,"WO 3.4: verify:all against a deployed instance, every result line carries the deployment URL (new script scripts/verify/verify-all-deployed.sh; not an exit gate while Vercel is locked, C9)",U-23;WO3.4;PMD-11,bash scripts/verify/verify-all-deployed.sh,"EXIT 0; stdout last line ""VERIFY-ALL-DEPLOYED-GATE: PASS""",blocked_owner,origin/main 025eea08: vercel.json ignoreCommand sh -c 'exit 0' (Vercel locked per PMD-11),yes
BR-315,3,"WO 3.5: CI job E2E Tests (Env-1, cross-repo), which runs the PROJEXA Playwright env1 specs, concludes success on the head of compliance-tracker main",U-24;WO3.5;M-A07-5,"test ""$(gh api ""repos/FChecklist/compliance-tracker/commits/main/check-runs?check_name=E2E%20Tests%20(Env-1%2C%20cross-repo)"" --jq '.check_runs[0].conclusion')"" = ""success""","EXIT 0; compared value ""success"" (today failure: run 35967296740, sha 025eea08)",pending,,no
BR-316,3,"[EXIT] Required-check list on compliance-tracker main equals the 10 original contexts plus Secret Scanning plus Browser Bundle Service-Role Scan (E2E Tests (Env-1, cross-repo) joins only after BR-315 has passed on 3 full runs in a row)",U-24;U-07;WO3.5;WO1.6;F-A11-5;M-A07-4;M-A07-5;M-A12-2,"test ""$(gh api repos/FChecklist/compliance-tracker/branches/main/protection --jq '.required_status_checks.contexts | sort | join("";"")')"" = ""Browser Bundle Service-Role Scan;Build;Governance YAML Parse Check;Graph Drift Check;Lint;Migration Integrity Check (AR-12);Migration Number Collision Check;Migration Schema Drift Check;Screen Definition Label Check;Secret Scanning;Type Check;Unit Tests""","EXIT 0; compared value ""Browser Bundle Service-Role Scan;Build;Governance YAML Parse Check;Graph Drift Check;Lint;Migration Integrity Check (AR-12);Migration Number Collision Check;Migration Schema Drift Check;Screen Definition Label Check;Secret Scanning;Type Check;Unit Tests"" (today 10 contexts; Secret Scanning and Env-1 absent)",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 1s",no
BR-317,3,Identity gateway (new Edge Function supabase/functions/projexa-read) verifies PROJEXA ES256 tokens against the projexa project key set URL,U-25;PMD-01;E-06;F-A09-1;F-A10-2;M-A09-3;M-A10-3,"test ""$(git grep -c -F 'https://evpckeuxgvahguwsaeul.supabase.co/auth/v1/.well-known/jwks.json' -- supabase/functions/projexa-read | awk -F: '{s+=$2} END {print s+0}')"" = ""1""","EXIT 0; compared count ""1"" (today 0, directory absent)",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 1s",no
BR-318,3,Identity gateway source holds no JWT signing secret (ID-03; paired with the key-set row so an empty directory cannot pass both),U-25;PMD-01;M-A09-3,"test ""$(git grep -c -E 'JWT_SECRET|jwt_secret' -- supabase/functions/projexa-read | awk -F: '{s+=$2} END {print s+0}')"" = ""0""","EXIT 0; compared count ""0""",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 1s",no
BR-319,3,"Identity gateway unit test: projexa-issuer token accepted, foreign issuer 401, no token 401, unlinked user 403 USER_NOT_LINKED with a plain message, org-B BOQ 404 (mutation: drop the issuer check -> test fails)",U-25;PMD-01;E-07;F-A09-1;F-A09-2;F-A10-2;M-A09-3;M-A09-4,bun test --isolate src/lib/services/projexa-read-gateway.test.ts,"EXIT 0; output contains ""0 fail""",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 4s",no
BR-320,3,"Gateway query path: role app_runtime with app.current_org_id = org A reads 0 BOQ lines of org B and more than 0 of org A, in a read-only transaction that always rolls back (new script scripts/verify/gateway-crossorg-sql.sh)",U-25;E-07;PMD-01;F-A05-2;F-A03-5;M-A05-4;M-A09-5,bash scripts/verify/gateway-crossorg-sql.sh,"EXIT 0; stdout ""CROSS_ORG_ROWS=0 OWN_ORG_ROWS_NONZERO=yes""",pass,"PM run 2026-09-25 of scripts/verify/gateway-crossorg-sql.sh as role app_runtime: CROSS_ORG_ROWS=0 OWN_ORG_ROWS_NONZERO=yes, transaction rolled back; exit 0, 1s",no
BR-321,3,E-06 rewritten for PMD-01: zero anon or authenticated table grants on compliance.construction_* (ID-04),U-25;E-06;PMD-01;F-A05-2;F-A03-5;M-A09-5;M-A05-4,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from pg_class c join pg_namespace n on n.oid = c.relnamespace cross join lateral aclexplode(c.relacl) a where n.nspname = 'compliance' and c.relname like 'construction%' and a.grantee in (select oid from pg_roles where rolname in ('anon', 'authenticated'))"" --equals 0","EXIT 0; stdout ""0""",pass,"PM run 2026-09-25 as role app_runtime against verdian-ai with scripts/verify/sql-assert.mjs (catalogue query, AM-121); exit 0, 1s",no
BR-322,3,E-07 through the gateway end to end with a real PROJEXA session of an org-A user (new script scripts/verify/projexa-gateway-isolation.sh; needs an owner-supplied session token because verify commands may not mint sessions),U-25;E-07;PMD-01;F-A10-2;M-A09-3,bash scripts/verify/projexa-gateway-isolation.sh,"EXIT 0; stdout ""200 404 401 401""",blocked_owner,REGISTER_CONVENTIONS 2026-09-25: minting a session is forbidden in verify_command,yes
BR-323,3,U-25 spike report records the verdian-ai PostgREST exposed-schemas setting (read-only Management API value),U-25;PMD-01;F-A09-5,"test ""$(git grep -c -E '^exposed_schemas: ' -- ai-os/projexa-build-001/U-25_SPIKE_REPORT.md | awk -F: '{s+=$2} END {print s+0}')"" = ""1""","EXIT 0; compared count ""1""",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 1s",no
BR-324,3,[EXIT] U-25 spike decision recorded: continue with the gateway or fall back to option (c) server-side reads,U-25;PMD-01,"test ""$(git grep -c -E '^decision: (continue_gateway|fallback_option_c)$' -- ai-os/projexa-build-001/U-25_SPIKE_REPORT.md | awk -F: '{s+=$2} END {print s+0}')"" = ""1""","EXIT 0; compared count ""1""",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 1s",no
BR-325,3,"E-08: scan of the built browser bundle .next/static for service_role, run by the required CI job Browser Bundle Service-Role Scan after a real next build (scripts/verify/bundle-service-role-scan.sh; this laptop cannot build, PMD-14)",U-26;E-08;F-A10-1;M-A10-2;PMD-14,bash scripts/verify/bundle-service-role-scan.sh,"EXIT 0; stdout ""HITS=0""",pass,"PR#1880 head 6258513a, CI job 108173609327 (run 36165950964, 2026-09-25): log lines 'scanned 286 file(s) under .next/static: 0 hit(s), 0 allowlisted', 'HITS=0' and 'SELFTEST PASS: 40 cases'",no
BR-326,3,[EXIT] E-08 in CI: job Browser Bundle Service-Role Scan concludes success on compliance-tracker main (mutation: service_role string planted in a use client module fails the job),U-26;E-08;F-A10-1;M-A10-2,"test ""$(gh api ""repos/FChecklist/compliance-tracker/commits/main/check-runs?check_name=Browser%20Bundle%20Service-Role%20Scan"" --jq '.check_runs[0].conclusion')"" = ""success""","EXIT 0; compared value ""success""",pass,"PM run 2026-09-25 on main 56217478 (run_rows.ps1); scan check success on the newest main commit; exit 0, 1s",no
BR-327,3,E-08 in CI: job Browser Bundle Service-Role Scan concludes success on projexa main,U-26;E-08;F-A10-1;M-A10-2,"test ""$(gh api ""repos/FChecklist/projexa/commits/main/check-runs?check_name=Browser%20Bundle%20Service-Role%20Scan"" --jq '.check_runs[0].conclusion')"" = ""success""","EXIT 0; compared value ""success""",pass,PM run 2026-09-25 (run_rows.ps1); projexa main scan check success,no
BR-328,3,Crons drift guard block present in src/lib/vercel-lockdown.test.ts (today the file guards ignoreCommand only),U-08;U-41;D-07;E-14;F-A07-6;M-A07-1,"test ""$(git grep -c -F 'describe(""crons drift guard""' -- src/lib/vercel-lockdown.test.ts | awk -F: '{s+=$2} END {print s+0}')"" = ""1""","EXIT 0; compared count ""1"" (today 0)",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 1s",no
BR-329,3,Crons drift guard passes on the committed vercel.json (mutation: add one cron to vercel.json -> test fails),U-08;U-41;D-07;E-14;F-A07-6;M-A07-1,bun test --isolate src/lib/vercel-lockdown.test.ts,"EXIT 0; output contains ""0 fail""",pass,"PM run 2026-09-25 on main 2e4144fb (run_rows.ps1); exit 0, 1s",no
BR-401,4,[ENTRY] Every phase 3 [EXIT] row still passes: runner scripts/verify/phase-gate.sh (created by this row) runs each BR-3xx row titled [EXIT] in ai-os/projexa-build-001/BOOLEAN_REGISTER.csv whose status is not blocked_owner and exits 1 on the first non-zero exit,U-05;U-22;U-24;U-25;U-26;WO6-ENTRY,bash scripts/verify/phase-gate.sh 3,"EXIT 0; stdout last line ""phase=3 failed=0""",pass,"PM run 2026-09-25 on main 56217478: bash scripts/verify/phase-gate.sh 3 printed phase=3 failed=0 (7 EXIT rows PASS, BR-313 verify:all inside it), exit 0; exit 0, 175s",no
BR-402,4,"Phase 4 record type is one table (PMD-20): the committed surface_matrix.json maps boq_progress to compliance.construction_boq_line_items (the work order says BOQ line items, NEXT-001 says BOQ progress; staging copy has 1 match 2026-09-25)",U-32;F-A04-6;M-A04-5;WO6-ENTRY,"test ""$(git grep -c -E '""boq_progress"": ""compliance\.construction_boq_line_items""' -- ai-os/projexa-build-001/surface_matrix.json | awk -F: '{s+=$2} END {print s+0}')"" = ""1""",EXIT 0,pass,"PM run 2026-09-25 on main a5dee217 (run_rows.ps1); exit 0, 1s",no
BR-403,4,"Keyset pagination on (boq_id, id) for BOQ line-item list and detail reads (listBoqs construction-boq-service.ts:753 and getBoq :1091 have no limit or cursor on origin/main 025eea08): a 153-line fixture (largest real BOQ, live 2026-09-25) read at limit 50 returns pages of 50, 50, 50 and 3 rows, 153 distinct ids and nextCursor null on the last page",U-27;D-11;WO4.4;F-A05-3;M-A05-3,bun test --isolate src/lib/services/construction-boq-service.keyset.test.ts,"EXIT 0; stdout contains ""0 fail""",pass,"PM run 2026-09-25 on main ce9130fa (run_rows.ps1); U-27 #1871, U-28 #1869; exit 0, 5.1s",no
